date,institution,FUTURE_INDEX,CALL_OI,PUT_OI,OPTIONS_NET_OI,FUTURE_INDEX_CHANGE,CALL_OI_CHANGE,PUT_OI_CHANGE,OPTIONS_NET_OI_CHANGE
2025-02-05,DII,8801.0,1920.0,31677.0,-29757.0,-104.0,0.0,0.0,0.0
2025-02-05,FII,-149348.0,-140261.0,-102984.0,-37277.0,4056.0,-51658.0,-54992.0,3334.0
2025-02-05,PRO,7598.0,-40788.0,-63760.0,22972.0,-2406.0,-69869.0,56919.0,-126788.0
2025-02-06,CLIENT,139844.0,-47399.0,-223905.0,176506.0,6895.0,-226527.0,-358972.0,132445.0
2025-02-06,DII,8720.0,70.0,21614.0,-21544.0,-81.0,-1850.0,-10063.0,8213.0
2025-02-06,FII,-156135.0,16016.0,152230.0,-136214.0,-6787.0,156277.0,255214.0,-98937.0
2025-02-06,PRO,7571.0,31313.0,50062.0,-18749.0,-27.0,72101.0,113822.0,-41721.0
2025-02-07,CLIENT,138794.0,-88353.0,-277851.0,189498.0,-1050.0,-40954.0,-53946.0,12992.0
2025-02-07,DII,10683.0,70.0,16219.0,-16149.0,1963.0,0.0,-5395.0,5395.0
2025-02-07,FII,-162468.0,37307.0,171894.0,-134587.0,-6333.0,21291.0,19664.0,1627.0
2025-02-07,PRO,12991.0,50976.0,89737.0,-38761.0,5420.0,19663.0,39675.0,-20012.0
2025-02-10,CLIENT,145181.0,-87094.0,-339246.0,252152.0,6387.0,1259.0,-61395.0,62654.0
2025-02-10,DII,11714.0,70.0,14619.0,-14549.0,1031.0,0.0,-1600.0,1600.0
2025-02-10,FII,-173486.0,49341.0,195078.0,-145737.0,-11018.0,12034.0,23184.0,-11150.0
2025-02-10,PRO,16591.0,37683.0,129547.0,-91864.0,3600.0,-13293.0,39810.0,-53103.0
2025-02-11,CLIENT,146461.0,-3004.0,-349386.0,346382.0,1280.0,84090.0,-10140.0,94230.0
2025-02-11,DII,15755.0,70.0,14247.0,-14177.0,4041.0,0.0,-372.0,372.0
2025-02-11,FII,-184448.0,51222.0,213091.0,-161869.0,-10962.0,1881.0,18013.0,-16132.0
2025-02-11,PRO,22232.0,-48288.0,122047.0,-170335.0,5641.0,-85971.0,-7500.0,-78471.0
2025-02-12,CLIENT,143898.0,61574.0,-259544.0,321118.0,-2563.0,64578.0,89842.0,-25264.0
2025-02-12,DII,26223.0,70.0,14984.0,-14914.0,10468.0,0.0,737.0,-737.0
2025-02-12,FII,-186821.0,38144.0,198091.0,-159947.0,-2373.0,-13078.0,-15000.0,1922.0
2025-02-12,PRO,16700.0,-99789.0,46469.0,-146258.0,-5532.0,-51501.0,-75578.0,24077.0
2025-02-13,CLIENT,139564.0,-12748.0,-324305.0,311557.0,-4334.0,-74322.0,-64761.0,-9561.0
2025-02-13,DII,25959.0,70.0,14984.0,-14914.0,-264.0,0.0,0.0,0.0
2025-02-13,FII,-183589.0,49684.0,217568.0,-167884.0,3232.0,11540.0,19477.0,-7937.0
2025-02-13,PRO,18066.0,-37006.0,91753.0,-128759.0,1366.0,62783.0,45284.0,17499.0
2025-02-14,CLIENT,142602.0,-66518.0,-405762.0,339244.0,3038.0,-53770.0,-81457.0,27687.0
2025-02-14,DII,22374.0,70.0,14984.0,-14914.0,-3585.0,0.0,0.0,0.0
2025-02-14,FII,-189339.0,54077.0,261652.0,-207575.0,-5750.0,4393.0,44084.0,-39691.0
2025-02-14,PRO,24363.0,12371.0,129127.0,-116756.0,6297.0,49377.0,37374.0,12003.0
2025-02-17,CLIENT,140742.0,-126394.0,-346398.0,220004.0,-1860.0,-59876.0,59364.0,-119240.0
2025-02-17,DII,21305.0,70.0,14984.0,-14914.0,-1069.0,0.0,0.0,0.0
2025-02-17,FII,-185700.0,49312.0,259174.0,-209862.0,3639.0,-4765.0,-2478.0,-2287.0
2025-02-17,PRO,23653.0,77012.0,72240.0,4772.0,-710.0,64641.0,-56887.0,121528.0
